RecordID,RID,RecordType,Squib,PaperDetails,Temperature,FrequencyFactor,TemperatureRatioExponent,ActivationEnergy,RateConstant,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
8170,3767,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7A146E4E79763BE9505CFBB6A820D8CE?id=2010CAN/XER9270-9288:5,"Theoretical Study of the Gas-Phase Reactions of Iodine Atoms with H<sub>2</sub>, H<sub>2</sub>O, HI, and OH, Canneaux, S.; Xerri, B.; Louis, F.; Cantrel, L. J. Phys. Chem. A 114, 9270 (2010)",250 - 2500,1.68E-11,1.74,156000.0,8.57e-39,2.0,1.68,-11,-155700,HI,,,I2,H(.),
8195,3771,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7CC0B52BBDA2563F197B5672B5801E5C?id=2010CAN/XER9270-9288:2,"Theoretical Study of the Gas-Phase Reactions of Iodine Atoms with H<sub>2</sub>, H<sub>2</sub>O, HI, and OH, Canneaux, S.; Xerri, B.; Louis, F.; Cantrel, L. J. Phys. Chem. A 114, 9270 (2010)",250 - 2500,4.27E-12,1.75,-4000.0,2.15e-11,2.0,4.27,-12,4000,HI,,,H2,I,
8366,3831,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DCF8D0313CC86E231835019206C04559?id=1977SHA929:7,"Estimation of Rate Constants as a Function of Temperature for the Reactions W + XYZ = WX + YZ, Where W, X, Y, and Z are H or O Atoms, Shaw, R. Int. J. Chem. Kinet. 9, 929 (1977)",250 - 2000,2.23E-12,0.75,13100.0,1.11e-14,2.0,2.23,-12,-13137,O3,,,O2,O2,
8471,3861,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=07839DB721B743214027F1FA877F78D3?id=2007XU/LIN12-18:2,"Ab initio study on the kinetics and mechanisms for O<sub>3</sub> reactions with HO<sub>2</sub> and HNO, Xu, Z.F.; Lin, M.C. Chem. Phys. Lett. 440, 12 (2007)",150 - 1000,2.56E-15,3.59,-3301.0,9.71e-15,2.0,2.56,-15,3301,O3,,,Products,,
8614,3895,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C86B717E77DCDEA9675248DC79C1C9E6?id=1982BOR/BIR3295:1,"High-Precision Measurements of Activation Energies over Small Temperature Intervals: Curvature in the Arrhenius Plot for the Reaction NO + O<sub>3</sub> ?? NO<sub>2</sub> + O<sub>2</sub>, Borders, R.A.; Birks, J.W. J. Phys. Chem. 86, 3295 (1982)",200 - 350,2.47E-13,2.2,6361.0,1.9e-14,2.0,2.47,-13,-6361,O3,,,O2,NO2,
8714,3918,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9B8DC0B986EB7EB563F7177641E2B6F1?id=2004PEI/LI6738-6742:4,"Ab initio and kinetic calculations for the reactions of Cl with SiH<sub>n</sub>Cl<sub>4</sub><sub>n</sub> (n=1,2,3,4), Pei, K.; Li, H.Y. J. Chem. Phys. 121, 6738 (2004)",200 - 2000,1.63E-10,1.96,7568.0,7.67e-12,2.0,1.63,-10,-7568,SiHCl3,,,HCl,SiCl3,
8720,3923,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D82A7812A2BDC541391F85E2ACCEE678?id=2002ZHA/WAN3796-3803:3,"Direct ab Initio Dynamics Studies of the Reactions of H with SiH<sub>4</sub><sub>_</sub>nCl<sub>n</sub> (n=1-3), Zhang, Q.; Wang, S.; Gu, Y. J. Phys. Chem. A 106, 3796 (2002)",200 - 3000,1.54E-13,2.3,2079.0,6.64e-14,2.0,1.54,-13,-2079,SiHCl3,,,H2,SiCl3,
8945,3978,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=ED39FAC3AD882145D070B4FAF5C4F5F7?id=2004PEI/LI6738-6742:1,"Ab initio and kinetic calculations for the reactions of Cl with SiH<sub>n</sub>Cl<sub>4</sub><sub>n</sub> (n=1,2,3,4), Pei, K.; Li, H.Y. J. Chem. Phys. 121, 6738 (2004)",200 - 2000,2.41E-10,2.04,926.0,1.66e-10,2.0,2.41,-10,-926,SiH4,,,HCl,SiH3,
8960,3982,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=826A38CA03F9729D194E8BF1B801139E?id=2002ZHA/WAN115-121:1,"Ab Initio and Kinetic Calculation for the Abstraction Reaction of Atomic O(<sup>3</sup>P) with SiH<sub>4</sub>, Zhang, Q.; Wang, S.; Zhou, J.; Gu, Y. J. Phys. Chem. A 106, 115 (2002)",200 - 3000,5.65E-12,2.25,6934.0,3.44e-13,2.0,5.65,-12,-6934,SiH4,,,(.)OH,SiH3,
9009,3997,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B3B8435880937443E5BADC6E962E97DB?id=2010WU/RAG633-639:1,"Ab Initio Chemical Kinetic Study for Reactions of H Atoms with SiH<sub>4</sub> and Si<sub>2</sub>H<sub>6</sub>: Comparison of Theory and Experiment, Wu, S.Y.; Raghunath, P.; Wu, J.S.; Lin, M.C. J. Phys. Chem. A 114, 633 (2010)",290 - 2500,1.15E-11,2.32,9512.0,2.47e-13,2.0,1.15,-11,-9512,SiH4,,,H2,SiH3,
9016,3997,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B3B8435880937443E5BADC6E962E97DB?id=2000YU/LI9207-9212:2,"Direct Ab Initio Dynamics Studies of the Reaction Paths and Rate Constants of Hydrogen Atom with Germane and Silane, Yu, X.; Li, S.-M.; Sun, C.-C. J. Phys. Chem. A 104, 9207 (2000)",200 - 1600,1.71E-12,2.69,6477.0,1.25e-13,2.0,1.71,-12,-6477,SiH4,,,H2,SiH3,
9017,3997,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B3B8435880937443E5BADC6E962E97DB?id=1998ESP/SAN466-473:1,"The SiH<sub>4</sub>+H ?? SiH<sub>3</sub>+H<sub>2</sub> reaction: potential energy surface, rate constants, and kinetic isotope effects, Espinosa-Garcia, J.; Sanson, J.; Corchado, J.C. J. Chem. Phys. 109, 466 (1998)",200 - 1000,9.05E-13,3.23,3581.0,2.13e-13,2.0,9.05,-13,-3581,SiH4,,,H2,SiH3,
9028,3999,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1304774BB4FD52F59C886B36D4660E2F?id=2005ZHA/LIU240-245:1,"Ab initio direct dynamics studies on the reaction Br+SiH<sub>4</sub>, Zhang, H.; Liu, J.Y.; Li, Z.S.; Sheng, L.; Wu, J.Y.; Sun, C.C. Chem. Phys. Lett. 405, 240 (2005)",200 - 3000,1.47E-11,2.18,13000.0,7.77e-14,2.0,1.47,-11,-12990,SiH4,,,HBr,SiH3,
9030,4001,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7D303CC0E261A72E456FF4EC2B3C6223?id=2013RAG/LEE1735-1746:22,"Ab Initio Chemical Kinetics for Reactions of H Atoms with SiHx (x=1-3) Radicals and Related Unimolecular Decomposition Processes, Raghunath, P.; Lee, Y. M.; Wu, S. Y.; Wu, J. S.; Lin, M. C. Int. J. Quantum Chem. 113, 1735 (2013)",200 - 2000,1.16,-4.86,393000.0,1.38e-69,2.0,,,-393233,SiH4,,,H(.),SiH3,
9173,4031,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6509EE3B966BF9C4155962CE0AC338AD?id=2010XU/LIN11477-11482:10,"Ab Initio Chemical Kinetic Study on Cl plus ClO and Related Reverse Processes, Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 11477 (2010)",150 - 2000,1.34E-05,-4.76,144000.0,8.28e-31,2.0,1.34,-5,-143824,Cl2O,,,ClO,(.)Cl,
9174,4031,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6509EE3B966BF9C4155962CE0AC338AD?id=2010XU/LIN11477-11482:7,"Ab Initio Chemical Kinetic Study on Cl plus ClO and Related Reverse Processes, Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 11477 (2010)",150 - 2000,2.62E+15,-0.75,137000.0,2.38e-09,1.0,2.62,15,-137156,Cl2O,,,ClO,(.)Cl,
9194,4043,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0A870C6BD3F11CB9A97BD61183D28B90?id=2003WAN/LIU4921-4928:2,"Theoretical Study and Rate Constant Calculation of the Cl + HOCl and H + HOCl Reactions, Wang, L.; Liu, J.-y.; Li, Z.-s.; Huang, X.-r.; Sun, C.-c. J. Phys. Chem. A 107, 4921 (2003)",220 - 2000,6.92E-15,4.07,-1412.0,1.22e-14,2.0,6.92,-15,1412,HOCl,,,HCl,ClO,
9198,4044,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6AA904171B59FBA24267C7BB3F556FDC?id=2004BRY/KNY10464-10472:5,"Temperature-dependent kinetics of the gas-phase reactions of OH with Cl<sub>2</sub>, CH<sub>4</sub>, and C<sub>3</sub>H<sub>8</sub>, Bryukov, M.G.; Knyazev, V.D.; Lomnicki, S.M.; McFerrin, C.A.; Dellinger, B. J. Phys. Chem. A 108, 10464 (2004)",200 - 3000,6.76E-13,1.39,-1472.0,1.22e-12,2.0,6.76,-13,1472,HOCl,,,(.)OH,Cl2,
9199,4044,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6AA904171B59FBA24267C7BB3F556FDC?id=2003WAN/LIU4921-4928:3,"Theoretical Study and Rate Constant Calculation of the Cl + HOCl and H + HOCl Reactions, Wang, L.; Liu, J.-y.; Li, Z.-s.; Huang, X.-r.; Sun, C.-c. J. Phys. Chem. A 107, 4921 (2003)",220 - 2000,9.59E-13,2.01,-1601.0,1.83e-12,2.0,9.59,-13,1601,HOCl,,,(.)OH,Cl2,
9206,4045,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5F66FBF9A682F0F243A1DF3C667F86C4?id=2003WAN/LIU4921-4928:1,"Theoretical Study and Rate Constant Calculation of the Cl + HOCl and H + HOCl Reactions, Wang, L.; Liu, J.-y.; Li, Z.-s.; Huang, X.-r.; Sun, C.-c. J. Phys. Chem. A 107, 4921 (2003)",220 - 2000,6.70E-13,2.31,-2455.0,1.8e-12,2.0,6.7,-13,2455,HOCl,,,Products,,
9213,4046,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC6E4D0028DA2E8B0187EE36499D8FD3?id=2005WAN/LIU225-232:1,"Ab initio and DFT theoretical calculation on the reactions O (P-3) studies and rate constants atoms with HOX (X = Cl, Br), Wang, L.; Liu, J.Y.; Li, Z.S.; Sun, C.C. Chem. Phys. Lett. 411, 225 (2005)",200 - 2000,4.30E-13,1.46,3898.0,8.92e-14,2.0,4.3,-13,-3898,HOCl,,,(.)OH,ClO,
9216,4047,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=05717A62E2DB43F2CED755ECC7CA4857?id=2009XU/LIN8811-8817:2,"Computational Studies on Metathetical and Redox Processes of HOCl in the Gas Phase. 1. Reactions with H, O, HO, and HO<sub>2</sub>, Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 113, 8811 (2009)",200 - 3000,8.23E-14,2.9,6660.0,5.6e-15,2.0,8.23,-14,-6660,HOCl,,,Products,,
9217,4048,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E53823EAAD84477CCE0820552A80BF9F?id=2010XU/LIN833-838:2,"Computational Studies on Metathetical and Redox Processes of HOCl in the Gas Phase: (II) Reactions with ClOx (x=1-4), Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 833 (2010)",200 - 3000,1.48E-15,2.48,97000.0,1.4700000000000002e-32,2.0,1.48,-15,-96997,HOCl,,,HOClO,ClO,
9218,4049,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3FA58E0B4ACCB635297BD9D10D1EF179?id=2010XU/LIN833-838:1,"Computational Studies on Metathetical and Redox Processes of HOCl in the Gas Phase: (II) Reactions with ClOx (x=1-4), Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 833 (2010)",200 - 3000,5.49E-13,1.77,78000.0,1.15e-26,2.0,5.49,-13,-78040,HOCl,,,(.)OH,Cl2O,
9223,4052,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=224B90352121D893D338F49FABD7EB16?id=2005WAN/LIU9123-9128:3,"DFT and ab initio dual-level direct dynamics studies on the reactions of fluorine atom with HOCl and HOBr, Wang, L.; Liu, J.Y.; Li, Z.S.; Sun, C.C. J. Phys. Chem. A 109, 9123 (2005)",200 - 2000,2.18E-11,-0.12,-1433.0,3.89e-11,2.0,2.18,-11,1433,HOCl,,,Products,,
9225,4054,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B2F57C843D5028B3898F0AE888A337D8?id=2010XU/LIN833-838:3,"Computational Studies on Metathetical and Redox Processes of HOCl in the Gas Phase: (II) Reactions with ClOx (x=1-4), Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 833 (2010)",200 - 3000,1.18E-16,5.45,32200.0,2.74e-22,2.0,1.18,-16,-32152,HOCl,,,HOClO2,ClO,
9226,4055,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=42AA9F2EFD0D70C0BDAD48791FF2A118?id=2010XU/LIN833-838:4,"Computational Studies on Metathetical and Redox Processes of HOCl in the Gas Phase: (II) Reactions with ClOx (x=1-4), Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 114, 833 (2010)",200 - 3000,3.11E-12,2.04,68400.0,3.14e-24,2.0,3.11,-12,-68436,HOCl,,,ClOClO2,(.)OH,
9228,4056,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=74A04000FA7EDEC5F3EBA508FAD483D5?id=2003WAN/LIU4921-4928:6,"Theoretical Study and Rate Constant Calculation of the Cl + HOCl and H + HOCl Reactions, Wang, L.; Liu, J.-y.; Li, Z.-s.; Huang, X.-r.; Sun, C.-c. J. Phys. Chem. A 107, 4921 (2003)",220 - 2000,4.91E-12,1.2,1557.0,2.62e-12,2.0,4.91,-12,-1557,HOCl,,,(.)OH,HCl,
9229,4057,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=235BAE22248B9B1124F3149CBA0E13E2?id=2003WAN/LIU4921-4928:5,"Theoretical Study and Rate Constant Calculation of the Cl + HOCl and H + HOCl Reactions, Wang, L.; Liu, J.-y.; Li, Z.-s.; Huang, X.-r.; Sun, C.-c. J. Phys. Chem. A 107, 4921 (2003)",220 - 2000,9.18E-16,4.89,1780.0,4.48e-16,2.0,9.18,-16,-1780,HOCl,,,H2,ClO,
9232,4058,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=095804B2D36187A7B976B6AC1B5B6701?id=2009XU/LIN8811-8817:1,"Computational Studies on Metathetical and Redox Processes of HOCl in the Gas Phase. 1. Reactions with H, O, HO, and HO<sub>2</sub>, Xu, Z.F.; Lin, M.C. J. Phys. Chem. A 113, 8811 (2009)",200 - 3000,7.14E-12,1.96,1763.0,3.51e-12,2.0,7.14,-12,-1763,HOCl,,,Products,,
9233,4058,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=095804B2D36187A7B976B6AC1B5B6701?id=2003WAN/LIU4921-4928:4,"Theoretical Study and Rate Constant Calculation of the Cl + HOCl and H + HOCl Reactions, Wang, L.; Liu, J.-y.; Li, Z.-s.; Huang, X.-r.; Sun, C.-c. J. Phys. Chem. A 107, 4921 (2003)",220 - 2000,3.95E-12,1.37,1009.0,2.63e-12,2.0,3.95,-12,-1009,HOCl,,,Products,,
9316,4116,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=59B2F7E548961C7BF4FFC6F8C495FC15?id=2006BAR/VIL201-205:1,"NF<sub>3</sub> + N=NF<sub>2</sub> + NF rate constant calculated using TST with simple tunneling correction, Barreto, P.RP.;Vilela, A.FA.;Gargano, R.;Ramalho, S.S.;Salviano, L.R. J. Mol. Struct. Theochem 769, 201 (2006)",200 - 4000,2.13E-12,1.97,126000.0,1.98e-34,2.0,2.13,-12,-125700,NF3,,,NF2,NF,
9332,4122,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AC4F779DD916D1CBA00D8F0B231ECC6A?id=1988LYM/HOL7232:10,"Oxygen fluoride chemical kinetics, Lyman, J.L.; Holland, R. J. Phys. Chem. 92, 7232 (1988)",290 - 310,1.54E-05,-1.0,82400.0,5.56e-20,2.0,1.54,-5,-82396,F2O2,,,(.)F,O2F,
9334,4122,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AC4F779DD916D1CBA00D8F0B231ECC6A?id=1988LYM/HOL7232:8,"Oxygen fluoride chemical kinetics, Lyman, J.L.; Holland, R. J. Phys. Chem. 92, 7232 (1988)",290 - 310,4.36E+14,-1.0,82400.0,1.57,1.0,4.36,14,-82396,F2O2,,,(.)F,O2F,
9365,4139,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=10B869F866E0A70D3AB8DC1909C5C505?id=2010VAR/RAG3642-3648:4,"Ab Initio Chemical Kinetics for the Reaction of an H Atom with Si<sub>3</sub>H<sub>8</sub>, Varma, D.H.; Raghunath, P.; Lin, M.C. J. Phys. Chem. A 114, 3642 (2010)",250 - 2500,2.40E-12,1.14,12500.0,1.55e-14,2.0,2.4,-12,-12488,Si3H8,,,SiH4,Si2H5,
9366,4139,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=10B869F866E0A70D3AB8DC1909C5C505?id=2010VAR/RAG3642-3648:5,"Ab Initio Chemical Kinetics for the Reaction of an H Atom with Si<sub>3</sub>H<sub>8</sub>, Varma, D.H.; Raghunath, P.; Lin, M.C. J. Phys. Chem. A 114, 3642 (2010)",250 - 2500,6.81E-12,1.63,20800.0,1.54e-15,2.0,6.81,-12,-20803,Si3H8,,,SiH4,Si2H5,
9369,4140,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=728A82728AD173F3D7D91C3AE6E712EB?id=2010VAR/RAG3642-3648:3,"Ab Initio Chemical Kinetics for the Reaction of an H Atom with Si<sub>3</sub>H<sub>8</sub>, Varma, D.H.; Raghunath, P.; Lin, M.C. J. Phys. Chem. A 114, 3642 (2010)",250 - 2500,3.95E-12,1.47,9005.0,1.04e-13,2.0,3.95,-12,-9005,Si3H8,,,Si2H6,SiH3,
9371,4141,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=30DBED9130B024DB266D120D7589D672?id=2010VAR/RAG3642-3648:6,"Ab Initio Chemical Kinetics for the Reaction of an H Atom with Si<sub>3</sub>H<sub>8</sub>, Varma, D.H.; Raghunath, P.; Lin, M.C. J. Phys. Chem. A 114, 3642 (2010)",250 - 2500,1.52E-11,2.06,6252.0,1.22e-12,2.0,1.52,-11,-6252,Si3H8,,,Products,,
9373,4142,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B13AC3E8BF0F5F7AC479680A53F14D12?id=2010VAR/RAG3642-3648:1,"Ab Initio Chemical Kinetics for the Reaction of an H Atom with Si<sub>3</sub>H<sub>8</sub>, Varma, D.H.; Raghunath, P.; Lin, M.C. J. Phys. Chem. A 114, 3642 (2010)",250 - 2500,5.09E-12,2.11,6710.0,3.39e-13,2.0,5.09,-12,-6710,Si3H8,,,SiH3SiH2SiH2(.),H2,
9375,4143,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6397F3673410B38FE0966AEA2BE06D3A?id=2010VAR/RAG3642-3648:2,"Ab Initio Chemical Kinetics for the Reaction of an H Atom with Si<sub>3</sub>H<sub>8</sub>, Varma, D.H.; Raghunath, P.; Lin, M.C. J. Phys. Chem. A 114, 3642 (2010)",250 - 2500,7.83E-12,2.0,5770.0,7.63e-13,2.0,7.83,-12,-5770,Si3H8,,,SiH3Si((.))HSiH3,H2,
9439,4164,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CEF568789D5D6BCF7BD9AB513494E62D?id=1995GOU/LAA161-169:1,"Computational studies of the potential energy surface for O(<sup>3</sup>P) + H<sub>2</sub>S: characterization of transition states and the enthalpy of formation of HSO and HOS, Goumri, A.; Laakso, D.; Rocha, J-D.R.; Smith, C.E.; Marshall, P. J. Chem. Phys. 102, 161 (1995)",200 - 2000,2.59E-12,1.75,12100.0,1.93e-14,2.0,2.59,-12,-12139,H2S,,,(.)OH,SH,
9461,4177,Review,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9EC6E0A6F0E4A10F722B9F53E05560FD?id=1999PEN/HU5307-5311:3,"Experimental and ab Initio Investigations of the  Kinetics of the Reaction of H Atoms with H<sub>2</sub>S, Pen, J.; Hu, X.; Marshall, P. J. Phys. Chem. A 103, 5307 (1999)",190 - 2237,3.66E-12,1.94,3783.0,7.95e-13,2.0,3.66,-12,-3783,H2S,,,H2,SH,
9464,4177,Experiment,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9EC6E0A6F0E4A10F722B9F53E05560FD?id=1992YOS/KOS199-204:1,"Non-arrhenius temperature dependence of the rate constant for the H+H<sub>2</sub>S reaction, Yoshimura, M.; Koshi, M.; Matsui, H.; Kamiya, K.; Umeyama, H. Chem. Phys. Lett. 189, 199 (1992)",293 - 2240,3.07E-12,2.1,2927.0,9.43e-13,2.0,3.07,-12,-2927,H2S,,,H2,SH,
9489,4177,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9EC6E0A6F0E4A10F722B9F53E05560FD?id=1999PEN/HU5307-5311:2,"Experimental and ab Initio Investigations of the  Kinetics of the Reaction of H Atoms with H<sub>2</sub>S, Pen, J.; Hu, X.; Marshall, P. J. Phys. Chem. A 103, 5307 (1999)",190 - 2237,1.83E-12,2.44,1962.0,8.29e-13,2.0,1.83,-12,-1962,H2S,,,H2,SH,
9512,4183,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=760CCCA2B681D648A3A2F4B609E75231?id=2013MOU/MOR6744-6756:7,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,2.48E-20,0.99,49100.0,6.13e-29,2.0,2.48,-20,-49100,H2S,,,H2SO3,,
9514,4184,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=549912AD4835F577305A279AD790C285?id=2013MOU/MOR6744-6756:6,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,1.14E-14,2.67,47700.0,4.9699999999999995e-23,2.0,1.14,-14,-47700,H2S,,,SO2,H2O,
9515,4184,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=549912AD4835F577305A279AD790C285?id=2013MOU/MOR6744-6756:8,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,5.57E-15,2.19,48600.0,1.69e-23,2.0,5.57,-15,-48600,H2S,,,SO2,H2O,
9516,4184,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=549912AD4835F577305A279AD790C285?id=2013MOU/MOR6744-6756:10,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,1.01E-11,1.64,48900.0,2.7e-20,2.0,1.01,-11,-48900,H2S,,,SO2,H2O,
9521,4186,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=99183341E3EC9C179D24B234F8F51DA5?id=2013MOU/MOR6744-6756:11,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,5.54E-16,2.3,94100.0,1.78e-32,2.0,5.54,-16,-94100,H2S,,,HO3,SH,
9522,4187,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=24D81BEE410437FC406C6C79956522FA?id=2013MOU/MOR6744-6756:5,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,1.15E-17,4.26,46400.0,8.48e-26,2.0,1.15,-17,-46400,H2S,,,HOSO,(.)OH,
9523,4187,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=24D81BEE410437FC406C6C79956522FA?id=2013MOU/MOR6744-6756:9,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,1.30E-14,2.77,47600.0,5.909999999999999e-23,2.0,1.3,-14,-47600,H2S,,,HOSO,(.)OH,
9524,4188,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9B94585141B7C38F02A799CD0F255DC4?id=2013MOU/MOR6744-6756:1,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,4.77E-17,0.38,49300.0,1.09e-25,2.0,4.77,-17,-49300,H2S,,,HSOOOH,,
9525,4189,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=8449E6F607376B94BE8AFF9D06306951?id=2013MOU/MOR6744-6756:2,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,1.30E-15,-0.54,51500.0,1.2199999999999999e-24,2.0,1.3,-15,-51500,H2S,,,HOOS(O)H,,
9526,4190,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0CE2758A60F6222ABF37923C7F76C40A?id=2013MOU/MOR6744-6756:4,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,5.49E-25,3.2,46500.0,3.8800000000000005e-33,2.0,5.49,-25,-46500,H2S,,,HOSOOH,,
9527,4191,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=68153AA3DB68C907F49A22F521130FAC?id=2013MOU/MOR6744-6756:3,"Multichannel RRKM-TST and Direct-Dynamics CVT Study of the Reaction of Hydrogen Sulfide with Ozone, Mousavipour, S. H.; Mortazavi, M.; Hematti, O. J. Phys. Chem. A 117, 6744 (2013)",298 - 2500,2.23E-20,1.03,49000.0,5.750000000000001e-29,2.0,2.23,-20,-49000,H2S,,,HOSH(O)2,,
9580,4214,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2622C0B4617EB104FBEE2EBD811DBEAF?id=2009BRU/WOJ1203-1221:4,"Theoretical Analysis of the Kinetics of the Reaction of Methyl Mercaptan with Nitrogen Dioxide in the Gas Phase, Brudnik, K.; Wojcik-Pastuszka, D.; Jodkowski, J.T. Pol. J. Chem. 83, 1203 (2009)",200 - 500,4.08E-13,0.8,66800.0,7.82e-25,2.0,4.08,-13,-66848,HNO2,,,CH3SH,NO2,
